ISO 639-3	Population
naw	14,000 (2003 GILLBT), increasing.
nat	20,000 (2003 SIL).
nau	10,300, all users. 9,300 (2013), decreasing. 1,000.
naz	1,400 (1990 census). 15 monolinguals.
nax	280 (2003 SIL).
nay	160 (2006 census).
tmr	No known L1 speakers.
bwe	17,200 (1997 F. Bennett), decreasing. No monolinguals.
tms	Ethnic population: 5,000 (Dimmendaal and Voeltz 2007).
tmt	150 (1983 SIL). Ethnic population: 210.
svm	1,000 (2012 W. Breu). Ethnic population: 2,000 (2012 W. Breu).
svk	15,000 (2014 EUD). 27,000 (2014 IMB).
sve	330 (1980 N. de Jonge).
dva	3,550 (1991 SIL). 710 monolinguals.
svc	138,000 (Holm 1989).
sva	14,000 (2015 J. Leclerc). Ethnic population: 15,000 (2000 A. Kibrik).
bwf	610 (1999 SIL). Ethnic population: 1,530.
svs	2,420 (1999 SIL).
bwg	15,000 (1999).
lkn	700 (2003 A. François).
lko	125,000 (2009 census).
lkl	720 (2003 SIL). 520 in area; 200 outside.
lkm	No known L1 speakers.
lkj	3,500 (2000 SIL).
lkh	8,000 (Van Driem 1993).
lki	1,000,000 (Fattah 2000). 150,000 monolinguals.
lkd	1 (2007).
lke	99,900 (2014 census), increasing. Census based on tribal affiliation.
lkb	253,000 (2009 census).
lkc	6,870 (2007). Total users in all countries: 46,870.
lka	3,250 (2010 census).
lky	12,400. No monolinguals.
lkt	2,100 in United States, all users. 2,000 (1997 W. Meya), increasing. 2,300 L1 speakers of all Sioux dialects in a total population of 175,000. 100 (2016 W. Meya). Ethnic population: 170,000 (2016 W. Meya). Includes all ethnic Sioux. Total users in all countries: 2,200 (as L1: 2,100; as L2: 100).
lku	No known L1 speakers.
lkr	28,000 (1987 SIL).
lks	137,000 (2009 census).
kce	2,320 (2000).
kcd	150 (1996 M. Donohue).
kcg	130,000 (1993 SIL).
kcf	18,000 (1973 SIL).
kca	9,580 (2010 census). Mostly speakers of Northern Khanty, 2,000 speakers of Eastern Khanty and probably no speakers left in Southern Khanty (Salminen 2007). Ethnic population: 30,900 (2010 census).
kcc	11,400 (2000).
kcb	12 (Wurm 2000). Ethnic population: 40.
kcm	13,000 (1996). Total users in all countries: 13,200.
kcl	2,200 (2011 SIL). Ethnic population: 3,000.
kco	305 (2000 census). Ethnic population: 330.
kcn	28,800 (2014 census), decreasing. Census based on tribal affiliation. Total users in all countries: 44,300.
kci	10,000 (Barrett 1982).
kch	500 (1973 SIL).
kck	196,000 (2012). Total users in all countries: 338,000.
kcj	700 (2014 J. Leclerc). Ethnic population: 690. Total users in all countries: 1,200.
kcu	16,400 (2000), decreasing.
kct	780, all users. 740 (2013 PBT). 40 (2013 PBT). Ethnic population: 790 (2013 PBT).
kcw	8,400 (2002).
kcv	8,400 (2002).
kcq	20,000 (1995 CAPRO).
kcp	14,000 (2012 J. Leclerc).
kcs	3,000 (1973 SIL).
kcr	25,000 (2009). Population for Julud.
kcy	3,000 (2010 L. Souag).
kcx	3,250, all users. L1 users: 2,830 (2010 UNSD). L2 users: 420 (1994 census).
kcz	51,000 (1987).
syi	1,000 (Idiata 2007). Total users in all countries: 12,000.
bxz	630 (2000 census).
bxq	120 (Temple and Temple 1922).
bxp	6,000 (1991 SIL).
bxs	1,490 (2000).
bxr	219,000 (2010 census). Ethnic population: 461,000 (2010 census).
bxu	65,000 (1982 census). 47,000 New Bargu, 14,000 Old Bargu, 4,500 Buriat.
bxw	6,000 (2007 SIL). Ethnic population: 6,000.
bxv	No known L1 speakers.
bxi	No known L1 speakers.
bxh	1,350 (2003 SIL), increasing. 270 monolinguals. Ethnic population: 1,350.
bxk	1,433,000 (2009 census), increasing. Total users in all countries: 1,470,100.
bxj	2 (2005 AUSTLANG).
bxm	45,100 (2010 census), decreasing.
bxl	500 (1995 SIL). Ethnic population: 800 (1995 SIL).
bxo	No known L1 speakers. Ethnic population: No ethnic community.
bxn	No known L1 speakers.
bxa	4,980 (1999 SIL).
bxc	1,000 (2011 SIL), decreasing. L2 users: 0. Few monolinguals. Ethnic population: 1,000.
bxb	8,000 (1983).
bxe	10 (2007 census).
bxd	400 (2000 D. Bradley). Ethnic population: 1,000 (2001 J. Edmondson).
bxg	3,500,000, all users. L1 users: Few L1 speakers. L2 users: 3,500,000 (1991 UBS).
bxf	4,180 (2012 SIL).
ulk	210 (2006 census).
ycp	2,000 (Bradley 2007a).
ych	3,300 (2007 J. Pelkey), decreasing. Ethnic population: 6,600 (Bradley 2007b).
ycn	1,800 (2001 SIL). 10 monolinguals. Ethnic population: 1,800.
ycl	380,000 (2007).
bwh	No known L1 speakers.
ozm	40,000 (2011 SIL). 26,400 monolinguals. Ethnic population: 40,000.
ulb	10,000 (Crozier and Blench 1992).
vbb	4,460 (2007 SIL).
vbk	2,470 (2007 census).
wig	100 (2005 AUSTLANG).
wif	No known L1 speakers.
wie	No known L1 speakers.
tev	1,100 (1986 SIL).
wic	1 (2008 B. Levy). Ethnic population: 2,100 (Golla 2007).
wib	19,500 (1995 SIL).
win	250 (Golla 2007). 230 reported in 1997 (1997 V. Zeps). Ethnic population: 1,650 (2000 census).
wim	1,660, all users. 1,060 (2006 census). 600.
wil	No known L1 speakers.
wik	86 (Wurm and Hattori 1981).
wij	40 (Wurm and Hattori 1981).
wii	100 (2004 SIL). No monolinguals. Ethnic population: 1,190 (2000 census).
wih	12 (Wurm and Hattori 1981).
wiv	8,800 (1991 SIL).
wiu	15,300 (Wurm and Hattori 1981).
wir	No known L1 speakers.
wiy	No known L1 speakers. Last speaker died in 1962 (1975 K. Teeter). Ethnic population: 450 (2000 A. Yamamoto).
syr	A macrolanguage. Population total all languages: 809,970
asx	810 (2003 SIL).
jns	100,000 (2001 USCWM).
jna	1,990 (1998 survey).
jng	No known L1 speakers. Ethnic population: 50 (Black 1983).
jnd	5,000 (1998).
jnj	92,200 (2010 UNSD).
jni	1,150 (2000).
jnl	670 (1998).
glr	4,630 (2012 J. Leclerc).
syy	140 (Sandler et al 2005). About 140 deaf and an unknown number of hearing.
maq	1,500 (2000 INALI). 340 monolinguals.
hlt	30,000 (2012). Total users in all countries: 40,000.
mas	842,000 (2009 census), increasing. Total users in all countries: 1,455,000.
sne	29,200 (2000 census).
snb	7,000 (2017 S. Anonby). Ethnic population: 9,000 (2017 S. Anonby).
hle	15,000 (2007), decreasing.
hld	2,000 (Wurm and Hattori 1981). Total users in all countries: 4,350.
hlb	793,000, all users. 593,000 (2001 census). 200,000 (2001 C. Thomas).
hla	20,000 (1994 SIL), increasing.
snc	18,000 (2000 census).
sna	8,960,000 in Zimbabwe, all users. L1 users: 7,160,000 (2012). L2 users: 1,800,000 (Chebanne and Nthapelelang 2000). Total users in all countries: 9,023,100 (as L1: 7,223,100; as L2: 1,800,000).
sno	10 (1998 J. Brook). Ethnic population: 800 (1977 SIL).
maz	74,000 (2000 INALI).
ecs	231,000 (2011 CONADIS).
snv	1,110 (2000). Total users in all countries: 1,960.
snu	250 (2005 SIL). No monolinguals.
snr	570 (2003 SIL).
sns	600 (Lynch and Crowley 2001). Ethnic population: 860.
snp	29,000 (2000 census).
snq	30,000 (Idiata 2007).
snz	500 (2003 SIL).
mal	34,451,800 33,000,000 (2001 census). Total users in all countries: 34,451,800.
sny	1,300 (2000 census).
rsl	121,000 (2010 census). 715,000 (2014 IMB). Total users in all countries: 122,000.
rsm	3 monolinguals (2014 D. Adone). Mostly used by hearing people. 3 deaf people identified by the Mirima Dawang Woorlab-gerring Language and Culture Centre. Ethnic population: A few hundred Miriwoong people; unclear how many use the sign language (2014 D. Adone).
rsb	78,000 (2009 J. Leclerc).
cyb	4 (Crevels 2007). Ethnic population: 650 (2006 PIB).
cya	8,940 (2000 INALI). 2,300 monolinguals.
cyo	123,000 (1990 census).
cym	562,000 (2011 census), decreasing. 32,700 monolinguals (1971 census). Total users in all countries: 590,890.
bej	2,000,000 (2012 J. Leclerc). Total users in all countries: 3,239,000.
bek	1,050 (1982 SIL).
beh	97,000 (2014 J. Leclerc). Total users in all countries: 101,080.
bei	4,000 (1986 UBS).
ben	261,517,930 178,200,000 in Bangladesh, all users. 159,000,000 (2015). 19,200,000 (2011 census). Total users in all countries: 261,517,930 (as L1: 242,315,050; as L2: 19,202,880).
beo	4,200 (Wurm and Hattori 1981).
bel	2,230,000 (2011 census). The majority of Belarusans speak Russian [rus] as their L1. Ethnic population: 7,960,000 (2009 census). Total users in all countries: 2,560,170.
bem	3,810,000 (2010 census), decreasing. 3,730,000 Bemba, 12,800 Chishinga, 37,900 Kabende, 15,000 Lunda, 1,680 Mukulu, 11,500 Unga (2010 census). Ethnic population: 2,890,000 (2010 census). 2,630,000 Bemba, 64,400 Chishinga, 45,000 Kabende, 119,000 Lunda, 5,130 Mukulu, 24,900 Unga (2010 census). Total users in all countries: 4,110,000.
beb	24,000 (Welmers 1971a).
bec	7,000 (1990). Total users in all countries: 12,000.
bea	160 (FPCC 2014). 450 semi-speakers (FPCC 2014). Ethnic population: 1,560 (FPCC 2014).
bef	45,000 (1998 NTM).
beg	1,240 (2004 J. Leclerc).
bed	180 (Wurm 2000).
bee	2,830 (2000). No monolinguals. Total users in all countries: 3,380 (as L1: 3,310; as L2: 70).
bez	670,000 (Johnstone and Mandryk 2001).
bex	100,000 (2004 SIL).
bey	2,200 (2000).
bes	1,230 (1993 census).
bep	10,000 (2007 SIL), increasing.
beq	100,000 (2007 census).
bev	130,000 (1993 SIL).
bew	5,000,000 (2000 census). Population count imprecise due to vague ethnic and linguistic definition of ‘Betawi’. Ethnic population: 6,800,000 (2011 census).
bet	130,000 (1993 SIL).
beu	11,000 (Wurm and Hattori 1981).
pyy	600 (2013 Pyen Language Committee).
awy	3,870 (2002 SIL).
awx	1,900 (2011 SIL), increasing. 670 monolinguals. Ethnic population: 1,950.
aww	400 (2003 SIL).
awv	2,300 (2002 SIL).
awu	7,500 (2002 Sohn Myo-sook).
pys	15,000 (2009 L. Parks), increasing.
aws	9,340 (2002 SIL).
pyu	8,490 (CIP-EY 2002). Ethnic population: 8,490.
awo	6,000 (1995 CAPRO).
awn	553,400, all users. L1 users: 489,000 (2010 UNSD), increasing. L2 users: 64,400 (1994 census). 323,000 monolinguals. Ethnic population: 1,000,000.
awm	60 (Wurm 2000). Ethnic population: 130 (2000 census).
awk	No known L1 speakers.
pym	3,000.
pyn	No known L1 speakers. Ethnic population: 400 (1999 ISA).
awh	100 (1999 SIL). 100 monolinguals.
awg	No known L1 speakers. Date of last speaker’s death is unknown.
awe	170 (2011 S. Drude).
awc	20,000 (1995 CAPRO).
pye	20,000 (1993 SIL). All Krumen: 48,300 (1993 SIL).
awa	2,530,000 (2001 census). Total users in all countries: 3,077,400 (as L1: 3,032,000; as L2: 45,400).
urd	109,100,000 in Pakistan, all users. 15,100,000 (2015 World Factbook). 94,000,000 (1999). Total users in all countries: 163,095,930 (as L1: 69,050,130; as L2: 94,045,800).
ure	2 (Adelaar 2004). There are 3 groups of Uru origin: Chipaya, Iru Itu, Murato. Of these only Chipaya have conserved the language. The 1994 census has surprisingly shown that 59 of the 142 Iru Itu contended to know the language, which in reality is spoken by a few elders (Crevels 2007). Ethnic population: 590 (Crevels 2007). 450 Murato, 140 Iru Itu.
urf	No known L1 speakers.
urg	1,400 (Wurm and Hattori 1981).
ura	3,000 (2002 SIL). Women are monolingual.
urb	800 (Moore 2006). Ethnic population: 990 (2006 FUNASA).
urc	No known L1 speakers.
url	No known L1 speakers. Ethnic population: 6,440 (2001 census).
urm	370 (2003 SIL).
urn	400 (1983 SIL).
uro	1,900 (1991 SIL).
urh	546,000 (Johnstone 1993).
uri	3,740 (2003 SIL). 40 monolinguals.
urk	5,000 (2012 S. Pattemore). Ethnic population: 3,000 (Bradley 2007b).
urt	6,280 (2003 SIL), decreasing. 2,480 in Wasep Ngau, 2,060 in Wusyep Yihre, 1,210 in Wasep Yam, and 550 in Wusyep Tep.
uru	No known L1 speakers.
urv	No known L1 speakers.
urw	2,250 (2003 SIL).
urp	200 (1995 SIL).
urr	250 (2007 A. François).
ibd	140 (2006 census).
urx	800 (2003 SIL).
ury	1,600 (1985 P. Fields). 900 in Unurum-Guay, 100 in Bonggo subdistrict, 600 in Lereh subdistrict. No monolinguals.
urz	87 (Moore 2006). Crevels (2007) groups the Uru-Eu-Wau-Wau together with Amundava [adw] for a total population of 170 (2003). Ethnic population: 87 (Moore 2006).
ibe	10,000 (Crozier and Blench 1992).
ngd	5,000 (1996).
nge	18,800 (2002 SIL).
ngg	29,000 (1996).
nga	1,010,000 (2000). 600,000 monolinguals. Total users in all countries: 1,016,650.
ngb	250,000 (2000 SIL). 75,000 monolinguals. Total users in all countries: 250,290.
ngc	150,000 (Welmers 1971a).
ngl	1,630,000 (2014).
ngm	700. 500 on atoll (1983 L. Poyer), 200 on Ponape. No monolinguals.
ngn	22,000 (2004 SIL).
ngo	170,000 (1987). Total users in all countries: 223,000.
ngh	5 (Brenzinger 2013), decreasing. 5 elderly women, 3 speaking the N|uu dialect in Upington, 2 speaking the ||Au variety in Olifantshoek. Ethnic population: 500 (1998 N. Crawhall).
ngi	80,000 (1993).
ngj	37,000 (2001 SIL), increasing.
ngk	11 (2006 census).
ngt	12,900 (2005 census). 9,030 monolinguals.
ngu	125,000 (2000 INALI). All Nahuatl variety speakers: 1,740,000.
ngv	No known L1 speakers.
ngw	10,000 (1993 CAPRO).
ngp	132,000 (1987).
ngq	55,000 (2005 SIL).
ngr	210 (1999 SIL).
ngs	20,000 (1990). Total users in all countries: 21,000.
ngx	2,000 (1995).
ngy	1,400 (1992 SIL).
ngz	45,000 (1988 SIL).
tby	15,000 (1991 SIL).
tbx	2,350 (1979 census).
tbz	88,300 (2014 J. Leclerc). Total users in all countries: 122,600.
mgg	45,000 (1991 SIL).
mgf	120.
mge	77,000 (2013 J. Leclerc).
mgd	70,000 (1982 SIL). 1,200 Agi, 2,500 Andri, 5,000 Kadiro, 9,000 Miza, 400 Wa’di.
mgk	850 (2006 SIL).
mgj	Ethnic population: 4,000 (2006 J. Leclerc).
mgi	50,000 (1985 UBS).
mgh	1,010,000 (2014). Total users in all countries: 1,528,000.
mgo	183,000 (2010 CABTAL), increasing. Menemo 83,000, Moghamo 100,000 (2013 CABTAL).
mgn	2,750 (1996).
mgm	131,000 (2010 census).
mgl	5,200 (1983 census). 1,560 Kilenge.
mgs	22,000 (2002).
mgr	207,000 (2010 census). 64,500 Lungu, 142,000 Mambwe (2010 census). Total users in all countries: 502,000.
mgq	65,000 (2003 SIL).
mgp	462,000 (2001 census), decreasing. 789,000 all Magar in Nepal (2011 census). The identification of Magars is complicated by the fact that a number of other ethnic groups (Chantyal, Kham, Kaike, Kusunda, Raute, Raji) have claimed to be Magars to outsiders. Isolated enclaves of monolinguals are found in Nawalparasi and southern Tanahu districts. Ethnic population: 1,890,000 (2001 census). Includes Eastern and Western Magar. Total users in all countries: 533,700.
mgw	72,000 (1978 MARC).
mgv	150,000 (1987).
mgu	8,500 (2000 census).
mgt	340 (2003 SIL).
tba	180 (Moore 2006). Ethnic population: 260 (Moore 2006).
mgz	24,000 (1999).
mgy	29,000 (1987).
tbb	No known L1 speakers. Ethnic population: 2,490.
tbe	15 (1999 SIL).
tbd	630 (2004 SIL). Ethnic population: 1,280.
tbg	6,000 (2003 SIL).
tbf	4,000 (2000 census).
shp	26,000 (2003 SIL).
shq	23,500 (2010 census).
shr	654,000 (1991 UBS).
shs	200 (FPCC 2014), increasing. 1,190 semi-speakers (FPCC 2014). 0 (Golla 2007). Ethnic population: 9,860 (FPCC 2014).
sht	No known L1 speakers. Ethnic population: 12 (1990 census).
shu	1,320,000 (2013 J. Leclerc), increasing. Total users in all countries: 1,633,000 (as L1: 1,563,000; as L2: 70,000).
shv	25,000 (2001 J. Leclerc). Total users in all countries: 59,000.
dpp	500 (2015 J. Saban), decreasing. No monolinguals (2015 J. Saban). Ethnic population: 1,900 (2015 J. Saban).
shx	910 (1999 Mao Zongwu). 580 Luofu, 390 Lianhua (McConnell 1995). 200 monolinguals. Ethnic population: 710,000 (2000 census). 375,000 (Fujian Province), 171,000 (Zhejiang Province), 78,000 (Jiangxi Province), 45,000 (Guizhou Province), 28,000 (Guangdong).
shy	1,400,000 (1993).
shz	155,000 (2010 SIL), decreasing.
sha	8,900 (2004).
shb	800 (2010 C. Luz). About evenly divided between northern and southern dialects. 15,700 for all Yanomam groups in Brazil (2006 FUNASA). Most are monolingual. Ethnic population: 1,200 (C. Luz). Total users in all countries: 900.
shc	96,000 (2002).
shd	700 (Rehman and Baart 2005).
she	43,820, all users. L1 users: 38,900 (2010 UNSD). L2 users: 4,920. 13,600 monolinguals (1994 census).
shg	2,000 (Brenzinger 2013).
shh	1,000 (Golla 2007). There are an additional 1,000 speakers who are not fluent (Golla 2007). Ethnic population: 7,000 (1977 SIL).
shi	3,890,000 (2004 census). Total users in all countries: 3,896,000.
shj	30,000 (2014 T. Stirtz).
shk	175,000 (1982 SIL).
shl	
shm	
shn	3,200,000 (Johnstone and Mandryk 2001). 350,000 Tai Mao (1990 A. Diller). Total users in all countries: 3,295,000.
sho	6,000 (2012 R. Jones). Ethnic population: 20,000 (2010 R. Jones). There is ethnic Shanga population speaking Hausa [hau] in Shanga, Dugu Tsofo, and some other villages in Kebbi State between Kaoje and Yauri, Niger river, both sides.
lup	19,700 (2000). Total users in all countries: 22,720.
luq	No known L1 speakers. Ethnic population: No ethnic community.
lur	10,000 (Grimes et al 1997).
lus	675,000 (2001 census). Total users in all countries: 687,750.
lut	10 (Watanabe and Sasama 2007), decreasing. Population evenly divided between the northern and southern dialects. Ethnic population: 18,000 (Golla 2007).
luu	1,200 (2000).
luv	30,000 (Salman and Kharusi 2012).
luw	1 (1995 B. Connell).
luy	A macrolanguage. Population total all languages: 5,287,900
luz	875,000 (1999), increasing. 300,000 monolinguals. Ethnic population: 900,000.
lua	7,000,000, all users. L1 users: 6,300,000 (1991 UBS). L2 users: 700,000.
lub	1,510,000 (1991 UBS).
luc	495,000 (2014 census), increasing. Census based on tribal affiliation.
lud	3,000 (2012 T. Salminen).
lue	171,000 (2010 census). Total users in all countries: 635,000.
luf	No known L1 speakers.
lug	6,560,000 in Uganda, all users. L1 users: 5,560,000 (2014 census), increasing. Census based on tribal affiliation. L2 users: 1,000,000 (Wiesenfeld 1999). Total users in all countries: 6,563,450 (as L1: 5,563,450; as L2: 1,000,000).
lui	5 (Golla 2007), decreasing. Ethnic population: 2,500 (Golla 2007).
luj	50,000.
luk	700 (1998).
lul	15,000 (1985 SIL).
lum	43,900 (2000).
lun	225,000 (2010 census). 214,000 Lunda, 10,900 Ndembu (2010 census). Total users in all countries: 403,000.
luo	4,044,000 (2009 census), increasing. Total users in all countries: 4,184,000.
keo	182,000 (2014 census), increasing. Census based on tribal affiliation. Total users in all countries: 242,000.
ken	65,000 (1992 SIL), increasing. Ethnic population: 65,000.
kem	62,000 (2010 census). Total users in all countries: 72,000.
kel	180,000 (1972 D. Barrett et al.).
kek	800,000 (2009 SIL), increasing. Total users in all countries: 817,600.
kej	1,960 (2004 survey), decreasing.
kei	85,000 (2000 E. Travis). 4,500 monolinguals.
keh	
keg	1,400 (Welmers 1971a).
kef	4,000 (2002 SIL). Ethnic population: 4,000.
kee	6,680 (Golla 2007). Includes 500 Zia speakers, 390 Santa Ana, 2,340 San Felipe, 2,850 Santo Domingo, 600 Cochiti (Golla 2007). 2010 census lists 13,100 as Keres. Ethnic population: 8,100 (Golla 2007). Includes 1,200 Cochiti, 2,600 San Felipe, 650 Santa Ana, 2,850 Santo Domingo, 800 Zia.
ked	100,000 (1987).
kec	6,070 (Stevenson 1984).
keb	1,000 (Idiata 2007).
kea	492,000 (2010 census), increasing. 325,000 Kabuverdianu-Sotaventu, 167,000 Kabuverdianu-Barlavente. 80,000 monolinguals. Ethnic population: 1,000,000. Total users in all countries: 733,730.
jie	100 (1999 H. Tourneux).
kez	180,000 (2011 U. Francis), increasing. 45,000 monolinguals. Ethnic population: 180,000.
key	6,600 (2007). Ethnic population: 79,000 (2007).
kex	211,000, all users. 111,000 (2001 census). 100,000 (1998).
kew	45,000 (2000 census).
kev	19,000 (2007). Ethnic population: 19,000.
keu	70,300 (Gblem-Poidi and Kantchoa 2012).
ket	210 (2010 census). No monolinguals. Ethnic population: 1,220 (2010 census).
kes	2,000 (1973 SIL).
ker	44,500 (1993 census). Total users in all countries: 50,500.
keq	40,000 (2003 BI).
kep	23,700 (2001 census).
jiv	61,900 (2012 UNSD).
yay	20,000 (1973 SIL).
yax	17,100 (2000). Total users in all countries: 22,200.
yaz	120,000 (1989).
yau	640 (Crevels 2007). Ethnic population: 640 (Crevels 2007).
yat	3,700 (1982 SIL).
yaw	8 (Moore 2006). Ethnic population: 220 (Moore 2006).
yav	2,300 (1994 SIL).
yaq	17,600 (2011 UNSD). Total users in all countries: 18,030.
jit	205,000 (2005 SIL), increasing.
yas	35,000 (1987 SIL).
yar	20 (1977 E. Migliazza). Ethnic population: 320 (Crevels 2007).
yam	80,000 (2000), increasing. Includes those living outside the area.
yal	55,500 (2002 SIL). Total users in all countries: 114,100.
yao	1,760,000 (2009 UNSD). Total users in all countries: 2,521,000.
jiu	10,000 (Bradley 2007b). Ethnic population: All Jinuo: 20,900 (Bradley 2007a).
yai	12,000 (2004 SIL).
yah	9,000 (2010). Ethnic population: 13,000.
yak	25 (Golla 2007), decreasing. Ethnic population: 8,000 (1977 SIL).
yaj	26,500 (1996).
yae	7,900 (2001 census). 590 urban, 7,310 rural.
yad	5,000 (2016 T. Payne). No monolinguals (2016). Ethnic population: 6,000.
yag	1 (2013 Y. Meroz). One elderly speaker in Ukika, 85 years old (2013 Y. Meroz). Ethnic population: 1,690 (2002 census).
yaf	700,000 (2000 SIL). Total users in all countries: 900,000.
yaa	750 (2003 SIL). 400 Yaminahua (1998 SIL), 150 Chitonahua. Total users in all countries: 1,570.
yac	5,000 (1988 SIL).
yab	400 (Moore 2006). Total users in all countries: 500.
oti	No known L1 speakers.
otl	290 (2000 INALI).
otm	49,300 (2007). 4,700 monolinguals.
otn	10,000 (1990 census). 2,200 monolinguals (1990).
jiq	50,000 (Lin 1993).
otd	78,800 (2007 SIL).
ote	88,500 (2000 INALI).
otx	12,000 (1990 census). 3,000 monolinguals. 25% of monolinguals are 5 to 9 years old.
otz	460 (2000 INALI). No monolinguals. Ethnic population: 5,360 (1990 census).
esh	
otq	33,000 (1990 census). 1,900 monolinguals (1990).
otr	10,000 (2001).
ots	20,000 (2010 SIL). 440 monolinguals.
ott	37,000 (1990 census). 850 monolinguals.
otu	No known L1 speakers.
otw	7,100 (1996 First Nations Language of Origin Map). Nishnaabemwin is an emergent language, fusion of Ottawa and Eastern Ojibwa [ojg], having a couple thousand speakers (Golla 2007). Ethnic population: 60,000. Total users in all countries: 14,310.
jiy	1,000 (1994). Most monolingual. Ethnic population: All Jinuo: 20,900 (Bradley 2007a).
wkl	750 (2004 survey).
wka	No known L1 speakers. C. Ehret reportedly worked with the last speaker (1976 M. Bender). Confirmed by R. Kiessling (1999).
wkb	10,000 (2004 NLCI).
wkd	550 (2005 SIL).
wky	No known L1 speakers.
wku	1,000 (2004 SIL).
wkw	2, all users. No known L1 speakers (Wurm 2007). Last native speaker of Duunidjawu dialect died in 1965 (Wurm 2007). 2 (Wurm 2007).
sbw	100 (Idiata 2007).
mzt	180 (2005 Lye Tuck-Po).
mzu	1,830 (2007).
mzv	220,000 (1996).
mzw	42,900 (2013 UNSD). Total users in all countries: 44,000.
mzp	1,450 (Adelaar 2004). Ethnic population: 6,530 (Adelaar 2004).
mzq	14,000 (1988 D. Mead).
mzr	1,250 (2006 FUNASA).
mzs	50 (Bradley 2007a). Ethnic population: 5,000 (Bradley 2007b).
mzx	50 (1986 C. Howard). Total users in all countries: 60.
mzy	
mzz	900 (2000 SIL), increasing.
mzd	2,230 (2001 SIL).
mze	1,100 (2000 census).
mza	2,570 (2005 census). 510 monolinguals.
mzb	150,000 (2010 UNESCO). Women are monolingual.
mzc	110,000 (2014 IMB). Estimated 170,000, based on 1% of general population (2014 Rajaonary Theodoric, World Association of Sign Language Interpreters).
mzl	19,200 (2000).
mzm	400,000 (1993 SIL).
mzn	2,370,000 (2015 M. Izady), decreasing. Some monolinguals in rural areas.
mzo	No known L1 speakers. Ethnic population: 220 (Crevels 2007).
mzh	15,000 (1999). Ethnic population: 40,000 (2004 INDEC). 40,000 Wichí Güisnay, Wichí Vejoz and Wichí Nocten.
mzi	8,590 (2000 INALI). 1,980 monolinguals.
mzj	81,100 (2015). Total users in all countries: 106,100.
mzk	99,000 (1993).
zyg	765,000 (2004). 745,000 in the Dejing area (Jingxi, Napo, and Debao Counties, Guangxi).
zyb	1,980,000 (2007).
zyn	1,800,000 (2000 J. Edmondson). Total users in all countries: 1,810,000.
zyj	870,000 (2007).
syb	140,000 (2000), increasing.
zyp	17,000 (1994). Total users in all countries: 20,000.
xsr	153,180 in Nepal, all users. 145,000 (2011 census), decreasing. 8,180 (2011 census). A few elderly monolinguals in remote villages (UNESCO). Ethnic population: 113,000 (2011 census). Total users in all countries: 172,280 (as L1: 164,100; as L2: 8,180).
xsp	180 (2003 SIL). Ethnic population: 350 (2000 census).
xsq	212,000 (2006).
xsu	4,610 (2000). 500 Yanoma. Total users in all countries: 5,070.
xsy	4,750 (CIP-EY 2002). Tungho: more active use. Taai: a few speakers; nearly assimilated into Atayal [tay]. Ethnic population: 7,900.
xsb	70,000 (2000 SIL), decreasing. No monolinguals. Ethnic population: 70,000.
xse	1,000 (1987 SIL).
xsh	
xsi	3,500 (1987 SIL).
xsn	20,100 (2000). 1,600 Bujiyel (1995 CAPRO).
xsl	530 (2011 census). Ethnic population: 3,600 (1995 M. Krauss).
xsm	83,600 (2009 UNSD). Total users in all countries: 232,600.
jls	7,500 (2011 E. Parks).
jle	11,700 (Stevenson 1984). Including Dagik [dec] speakers.
swi	300,000 (Bradley 2007b). Ethnic population: 407,000 (2000 census). Total users in all countries: 300,120.
swh	47,000,000 in Tanzania, all users. L1 users: 15,000,000 (2012), increasing. L2 users: 32,000,000 (2015 D. Nurse). Total users in all countries: 98,292,010 (as L1: 15,992,010; as L2: 82,300,000).
swj	39,400 (2000). 30,000–40,000 (Idiata 2007).
swm	90 (Wurm 2000).
swo	9 (Moore 2006). Ethnic population: 360 (2002 FUNAI).
swn	No known L1 speakers.
swc	9,101,000 in Democratic Republic of the Congo, all users. L1 users: 1,000. L2 users: 9,100,000 (1991 UBS). Total users in all countries: 9,101,000 (as L1: 1,000; as L2: 9,100,000).
swb	132,000 (2004 J. Leclerc). Total users in all countries: 136,500.
swe	12,362,250 8,840,000 (European Commission 2012). 5,000 speakers of Gutniska (1998 S. Håkansson), and 30,000 of Jamska. Total users in all countries: 12,362,250 (as L1: 9,244,250; as L2: 3,118,000).
swg	Ethnic population: 820,000 (2000).
swf	2,500. Total users in all countries: 2,528.
swy	2,000 (1997 SIL).
swx	140 (Moore 2006). 140 monolinguals.
eaa	No known L1 speakers.
swq	5,100 (2000 SIL).
swp	20,800, all users. 6,800 (Wurm and Hattori 1981). 14,000. 680 monolinguals.
sws	2,840 (2005). 740 Makatian, 2,100 Seluwasan.
dma	9,840 (2000).
dmb	19,000 (1998 SIL).
dmc	3,820 (2003 SIL). Ethnic population: 3,890 (2000 census).
lso	
dme	5,000 (2001 SIL).
dmg	Ethnic population: 15,000 (2015 L. Rose).
dmk	340 (Matthias 2011), decreasing. Concentrated mostly in one village (Van Driem 2007).
dml	5,000 (Cacopardo and Cacopardo 2001), increasing.
dmm	50.
dmo	3,540 (2008 Misaje council).
dmr	2,800 (1990 SIL).
dms	2,000 (Wurm 2007), decreasing. Ethnic population: 10,000 (Wurm 2007).
dmu	220 (2005 SIL).
