ISO 639-3	Population	Name
diy	100 (1999 SIL).	Diuwe
diz	155,000 (2002).	Ding
dit	No known L1 speakers.	Dirari
diu	10,000 (2002 J. Leclerc). Total users in all countries: 36,000.	Diriku
div	331,000 (2012). Total users in all countries: 340,500.	Maldivian
diw	80,000 (1986).	Dinka, Northwestern
dip	320,000 (1986 UBS).	Dinka, Northeastern
diq	1,500,000 (Paul 1998), decreasing. A few elderly monolinguals. Ethnic population: 3,000,000 (Paul 1998).	Zazaki, Southern
dir	9,000 (1992).	Dirim
dis	112,000 (2001 census).	Dimasa
cgk	30,000 (2011 SIL).	Chocangacakha
cga	690 (2003 SIL).	Changriwa
box	268,000 (2009 UNSD).	Buamu
boy	15 (1996).	Bodo
hbo	No known L1 speakers.	Hebrew, Ancient
hbn	4,410 (Stevenson 1984).	Heiban
bop	180 (1991 SIL). 70 monolinguals. Ethnic population: 230 (2000 census).	Bonkiman
boq	300 (Wurm and Hattori 1981).	Bogaya
bor	1,390 (2007 ISA). Total users in all countries: 1,392.	Borôro
bos	1,120,000 (2014 World Factbook). Total users in all countries: 1,518,750.	Bosnian
bot	10,100 (2000).	Bongo
bou	50,000 (2000 M. Brenzinger).	Bondei
bov	11,400 (2003 GILLBT).	Tuwuli
bow	12 (2012 J. Thiessen).	Rema
boh	20,500 (2000).	Boma
boi	No known L1 speakers (Golla 2007), but emerging L2 speakers. Last speaker died in 1965 (Golla 2007).	Barbareño
boj	2,020 (2003 SIL).	Anjam
bok	3,000.	Bonjo
bol	100,000 (1990).	Bole
bom	1,000,000 (2010 SIL).	Berom
bon	2,000 (1987 SIL).	Bine
boo	2,500 (1991).	Bozo, Tiemacèwè
hbu	2,700 (2010 census).	Habun
boa	750 (2007 census). Ethnic population: 3,000 (Crevels 2007). Total users in all countries: 850.	Bora
bob	7,600 (2009 census), increasing. 1,600 monolinguals.	Aweer
bod	1,070,000 (1990 census). 570,000 Dbus, 460,000 Gtsang, 40,000 Mngahris out of 4,593,000 in the official nationality. 920,000 monolinguals. Total users in all countries: 1,172,940.	Tibetan, Central
boe	500 (Good et al 2011).	Mundabli
bof	17,000 (1998 SIL). Total users in all countries: 22,920.	Bolon
bog	Estimated 40,000–70,000 people with moderate to severe hearing loss in Mali (Nyst et al 2012).	Bamako Sign Language
aym	A macrolanguage. Population total all languages: 1,702,000	Aymara
ayl	4,130,000 (2015), increasing. Total users in all countries: 4,802,000.	Arabic, Libyan Spoken
ayo	2,600 (2009 Universidad Nacional de Asunción), increasing. 1,500 monolinguals. Total users in all countries: 4,300.	Ayoreo
ayn	7,600,000 (1996). Total users in all countries: 7,850,000.	Arabic, Sanaani Spoken
ayi	10,000 (1989).	Leyigha
ayh	300,000 (1995). Total users in all countries: 410,000.	Arabic, Hadrami Spoken
ayk		Akuku
aye	3,000 (Crozier and Blench 1992).	Ayere
ayd	No known L1 speakers (Wurm 2003).	Ayabadhu
ayg	16,500 (Gblem-Poidi and Kantchoa 2012). Ethnic population: 12,500.	Ginyanga
aya	900 (2013 PBT). Ethnic population: 1,200 (2013 PBT).	Awar
ayc	213,000 (2011 J. Leclerc).	Aymara, Southern
ayb	472,000 (2014 J. Leclerc). 20,300 Seto, 162,000 Tori (2014 J. Leclerc).	Gbe, Ayizo
ayy	No known L1 speakers.	Ayta, Tayabas
ayz	20,000 (1987 SIL).	Mai Brat
ayu	800 (2003 SIL).	Ayu
ayt	1,000 (2011 SIL). Ethnic population: 1,000.	Ayta, Magbukun
ayq	430 (2000 census).	Ayi
ayp	7,570,000 (2014 J. Leclerc). Total users in all countries: 8,590,000.	Arabic, North Mesopotamian Spoken
ays	15 (Wurm 2000). Ethnic population: 180.	Ayta, Sorsogon
ayr	998,000 (2014 UNSD). Total users in all countries: 1,489,000.	Aymara, Central
ood	14,000 (Golla 2007). 8,190 Pima (2010 census). 180 monolinguals (1990 census). Ethnic population: 33,000 (Ichihashi-Nakayama 2004). Including 20,000 Papago, 13,000 Pima (Ichihashi-Nakayama 2004). Total users in all countries: 14,160.	Tohono O’odham
oog	10,300 (2000).	Ong
oon	94 (Abbi 2006). Mainly monolingual. Ethnic population: 110 (1999).	Öñge
oor	32,000 (2006 J. Leclerc).	Oorlams
fly	No known L1 speakers.	Flaaitaal
flr	400,000 (2012 SIL).	Fuliiru
ulw	350 (2009 J. Mejia). 83 (2005 census).	Ulwa
ulu	3,000 (Soriente 2006), decreasing.	Uma’ Lung
fli	25,000 (2010 Z. Yoder et al.). 5,500 in the language area; 5,000 outside, many of whom return each summer.	Fali
flh	350 (2010 SIL), increasing.	Foau
uli	3,000 (1987 UBS). Total users in all countries: 3,039.	Ulithian
uln	10 (2016 P. Maitz). Total users in all countries: 110.	Unserdeutsch
fll	16,000 (1982 SIL).	Fali, North
ull	No known L1 speakers. Ethnic population: 16,700 (2001 census).	Ullatan
fln	No known L1 speakers.	Flinders Island
fla	64 (2005 T. Pete), decreasing. 58 in Salish and Pend d’Oreille; 4 in Kalispel (2000 census). Ethnic population: 6,800 (1997).	Kalispel-Pend d’Oreille
ulc	150 (2010 census). Ethnic population: 2,770 (2010 census).	Ulch
ula	1,000 (1992 R. Blench).	Fungwa
ulf	110 (2004 SIL). Population estimates range from 20 to 160 (Wurm 2007). Few monolinguals.	Usku
bgj	14,000 (2008 census).	Bangolan
bgk	1,960 (2005 census). Total users in all countries: 2,160.	Bit
bgl	2,950 (2000).	Bo
nyx	No known L1 speakers.	Nganyaywana
nyy	1,080,000 (2013 J. Leclerc), increasing. Total users in all countries: 1,229,000.	Nyakyusa-Ngonde
nyr	10,000 (2007).	Nyiha, Malawi
nys	240 (2006 census).	Nyunga
nyp	20 (2011 SIL), decreasing. Ethnic population: 9,630 (2014 census).	Nyang’i
nyq	7,030 (2000).	Nayini
nyv	No known L1 speakers.	Nyulnyul
nyw	50,000 (Diller and Juntanamalaga 1990).	Nyaw
nyt	No known L1 speakers.	Nyawaygi
nyu	262,000 (2010 J. Leclerc).	Nyungwe
nyj	150,000 (1994 census).	Nyanga
nyk	300,000 (1996 UBS). All Nyaneka variants together amount to 1,200,000 speakers (2012 Nyaneka Language Association).	Nyaneka
nyh	63 (2006 census).	Nyigina
nyi	142,000 (2012 J. Leclerc). Elderly and young children are monolingual.	Ama
nyn	3,370,000 (2014 census), increasing. Census based on tribal affiliation.	Nyankore
nyo	969,000 (2014 census), increasing. Census based on tribal affiliation.	Nyoro
nyl	200.	Nyeu
nym	1,320,000 (2013 J. Leclerc). 73% are in the traditional area.	Nyamwezi
nyb	6,400 (2003).	Nyangbo
nyc	69,000 (2002). 21,000 Gbati-ri (2002).	Nyanga-li
nya	6,500,000 (2009 UNSD). 4,250,000 Chewa, 1,490,000 Ngoni, 754,000 Nyanja (2009 UNSD). Total users in all countries: 9,689,700.	Chichewa
nyf	944,000 (2009 census), increasing. 752,000 Giryama; 25,400 Kambe; 98,700 Rabai; 14,500 Ribe; 52,900 Kauma.	Kigiryama
nyg	8,400 (2002).	Nyindu
nyd	311,000 (2009 census), increasing.	Olunyole
nye	9,380 (2000).	Nyengo
snf	32,900 (2007).	Noon
sng	431,000 (1991 UBS).	Sanga
snd	22,700,000 (2015 World Factbook). Ethnic population: 26,000,000 (2014 World Factbook). Total users in all countries: 24,445,500.	Sindhi
mar	74,700,000 in India, all users. 71,700,000 (2001 census). 3,000,000. Total users in all countries: 74,775,760 (as L1: 71,775,760; as L2: 3,000,000).	Marathi
mau	74,600 (2000 INALI). Over 100,000 Mazatec speakers live outside the Mazatec homeland, mostly in major cities (2005 census). Probably at least half speak L1. 22,400 monolinguals.	Mazatec, Huautla
mat	650 (2000 INALI).	Matlatzinca, San Francisco
maw	316,000 (2013 UNSD), increasing. Total users in all countries: 326,000.	Mampruli
mav	9,160 (2008 FUNASA).	Sateré-Mawé
snn	200 (Civallero 2008). Ethnic population: 730 (2001 Guía Etnográfica de Colombia). Total users in all countries: 500.	Siona
max	1,000,000, all users. 700,000 (2001 SIL). 300,000 (2001 R. Whisler). 100,000 monolinguals.	Malay, North Moluccan
snl	15,000 (1996 SIL).	Sangil
snm	60,000 (2010 SIL), increasing.	Ma’di, Southern
snj	34,500 (1996).	Sango, Riverain
snk	1,280,000 (2009 census), increasing. Total users in all countries: 2,017,110.	Soninke
sni	No known L1 speakers.	Sensi
maa	18,900 (2000 INALI). 4,000 in state of Puebla. 3,780 monolinguals.	Mazatec, San Jerónimo Tecóatl
snw	11,300 (2003 GILLBT).	Selee
mab	960 (2000 INALI). 8 monolinguals.	Mixtec, Yutanduchi
mae	2,000 (Blench 1999b). 1,000 in each dialect.	Bo-Rukul
mad	6,770,000 (2000 census), decreasing. 86,000 Bawean. 2000 census reports large population decrease. Due to intermarriage, language attitudes, and other socioeconomic issues, the Madurese population is likely underreported. Ethnic population: 7,180,000 (2011 census). Total users in all countries: 6,770,900.	Madura
mag	14,000,000 (2001 census). Total users in all countries: 14,046,400 (as L1: 14,035,600; as L2: 10,800).	Magahi
maf	210,000 (2005 SIL). Based on the actual population of the sub-divisions where the Mafa people are present (2014 C. Hamm). Total users in all countries: 214,910.	Mafa
mai	30,000,000 (2000 SIL). 12,000,000 monolinguals (1998). Total users in all countries: 34,085,000 (as L1: 33,890,000; as L2: 195,000).	Maithili
mah	42,500 (2001 UNSD). Total users in all countries: 53,200.	Marshallese
mak	2,530,000, all users. 2,130,000 (2000 census). 400,000.	Makasar
maj	17,500 (2000 INALI). 4,030 monolinguals.	Mazatec, Jalapa de Díaz
mam	530,000 (1991). Total users in all countries: 540,500.	Mam
bgz	125,000 (2000 census), decreasing.	Banggai
snx	780 (2000 census).	Sam
man	A macrolanguage. Population total all languages: 7,293,000	Mandingo
zna	5,000 (2003 SIL).	Zan Gula
zng	2,660 (1999 census). Ethnic population: 3,700 (2009 census). Total users in all countries: 3,165.	Mang
zne	730,000. Total users in all countries: 1,242,000 (as L1: 1,142,000; as L2: 100,000).	Zande
znk	No known L1 speakers.	Manangkari
zns	100 (1995 CAPRO).	Mangas
lsg		Lyons Sign Language
lsd	7,500 (1999 H. Mutzafi). Ethnic population: 9,060.	Lishana Deni
lse	42,000 (2002).	Lusengo
lsa	1,000 (2006 census).	Lasgerdi
bwi	610 (2007 SIL), decreasing. Ethnic population: 2,410 (2001 census).	Baniwa
lsl	2,000 (2014 EUD). 9,900 (2014 IMB).	Latvian Sign Language
lsm	521,000 (2014 census), increasing. Census based on tribal affiliation. 421,000 Basaamia and 99,900 Bagwe (2014 census). Total users in all countries: 646,000.	Saamia
lsh	2,340.	Lish
lsi	30,000 (2000 D. Bradley). Total users in all countries: 31,800.	Lacid
lst	2,000 (2008 E. Parks).	Trinidad and Tobago Sign Language
lsr	700 (1991 SIL).	Aruop
lss	11,000 (2004 J. Leclerc).	Lasi
lsp		Panamanian Sign Language
lsy		Mauritian Sign Language
kky	780 (2006 census).	Guguyimidjir
kkx	8,000 (2003).	Kohin
kkz	16 (FPCC 2014). 62 semi-speakers (FPCC 2014). Ethnic population: 540 (FPCC 2014).	Kaska
kku	2,270 (2000).	Tumi
kkt	1,470, all users. 1,270 (2011 census). 200 (2011 census).	Koi
kkw	38,800 (2000). 740,000 all Teke languages in Congo (2012 World Factbook).	Teke-Kukuya
kkv	110,000 (2000 census).	Kangean
kkq	13,000 (2002).	Kaiku
kkp	100 (2006 census).	Gugubera
kks	14,000 (1998 SIL).	Giiwo
kkr	3,050 (1993).	Kir-Balar
kkm	100 (2004). Ethnic population: 570.	Kiong
kkl	2,300 (1993 R. Doriot). 2,300 monolinguals. Nearly 100% are monolingual. Ethnic population: 2,300.	Yale, Kosarek
kko	7,000 (2004 A. Farah).	Karko
kkn	6,300 (2000).	Kon Keu
kki	241,000 (2006 M. Petzell).	Kagulu
kkh	100,000 (Diller and Juntanamalaga 1990). Total users in all countries: 106,880.	Khün
kkk	530 (1999 SIL).	Kokota
kkj	100,000 (2003 SIL). Total users in all countries: 121,400.	Kako
kke	10,000 (2012 V. Vydrin). Ethnic population: 50,000 (2012 V. Vydrin).	Kakabe
kkd	500 (1973 SIL).	Kinuku
kkg		Kalinga, Mabaka Valley
kkf	8,000 (2005).	Monpa, Kalaktang
kka	20,000 (1989 R. Blench).	Kakanda
kkc	490 (2002 SIL).	Odoodee
kkb	15 (Wurm 2000). Ethnic population: 130.	Kwerisa
xla	800 (1998 SIL).	Kamula
bwj	69,200 (2000).	Bwamu, Láá Láá
orz	500 (Wurm 2000).	Ormu
orx	75,000 (1989).	Oro
ory	32,100,000 (2001 census). Total users in all countries: 32,137,870.	Odia
orw	2 (2010 SIL). Ethnic population: 55 (1998).	Oro Win
ort	400,000, all users. 200,000 (2011 SIL). 200,000 (1998 U. Gustafsson).	Oriya, Adivasi
oru	6,000 (2004 R. Burki). Total users in all countries: 6,050.	Ormuri
orr	5,000 (1995).	Oruma
ors	Ethnic population: 1,250 (2008 JHEOA). Total users in all countries: 880.	Orang Seletar
orn	Ethnic population: 160 (2008 JHEOA).	Orang Kanaq
oro	13,000 (1977 SIL).	Orokolo
orm	17,465,900 A macrolanguage. Population total all languages: 17,465,900	Oromo
orh	1,200 (Li and Whaley 2009). 30% of ethnic group (Salminen 2007). Only 12 fluent speakers in 1990, all over 65 yrs (Li and Whaley 2009). 800 monolinguals. Ethnic population: 8,200 (2000 census).	Oroqen
ori	32,656,870 A macrolanguage. Population total all languages: 32,656,870	Oriya
org	75,000 (1989).	Oring
ore	220 (Crevels 2007). Ethnic population: 290 (Crevels 2007).	Maijuna
orc	66,300 (2009 census), increasing.	Orma
ora	38 (1999 SIL).	Oroha
zsu	1,160 (2000 census). Ethnic population: 1,160.	Sukurum
zsr	12,000 (1990 census).	Zapotec, Southern Rincon
zsa	600 (2000 SIL). Ethnic population: 950 (2000 SIL).	Sarasira
zsl	14,400 (2008 WFD). 14,400 deaf signers out of 16,000 total deaf (2008 World Federation of the Deaf).	Zambian Sign Language
zsm	Few L1 speakers. L2 includes most Malaysian population.	Malay, Standard
aqt	1,030 (2002 census). Ethnic population: 3,690 (2002 census).	Angaité
iwo	6,900 (2011 J. Elliot).	Morop
iwm	3,000 (1998 NTM).	Iwam
iwk	3,260 (2000).	I-wak
iws	2,500 (2000 census).	Iwam, Sepik
aqd	5,200 (1998 SIL).	Dogon, Ampari
aqm	1,000 (1987 SIL).	Atohwaim
aqn	200 (Wurm 2000). Ethnic population: 400.	Alta, Northern
ges	36,500 (1989 SIL).	Geser-Gorom
geq	550 (1996).	Geme
gew	200,000 (1995 CAPRO).	Gera
gev	50 (2013 D. Cavar). Ethnic population: 400 (2013 D. Cavar).	Eviya
gez	No known L1 speakers. Ethnic population: No ethnic community. Total users in all countries: none known.	Geez
gey	15,000 (2000).	Enya
gex	50,000 (1998 J. Leclerc). Ethnic population: 100,000 (1992).	Garre
gec	104,000 (2015).	Grebo, Gboloo
geb	2,420 (2003 SIL).	Kire
gea	9,030 (2000).	Geruma
geg	4,000.	Gengle
ged	72,100 (2000).	Gade
gek	14,100 (2000).	Ywom
gej	201,000 (1991). Total users in all countries: 278,900.	Gen
gei	2,650 (2000).	Gebe
geh	29,200 (2007 SIL). Total users in all countries: 40,000.	Hutterisch
gel	36,000 (1992 SIL).	ut-Ma’in
fqs	2,500 (2000 census).	Fas
tux	No known L1 speakers.	Tuxináwa
tuy	140,000 (2009 census), increasing.	Tugen
tuz	37,000 (1998 SIL).	Turka
tuq	28,500 (1993 census). Total users in all countries: 42,500.	Tedaga
tur	71,463,470 66,850,000 in Turkey, all users. 66,500,000 (European Commission 2006). 350,000 (European Commission 2006). Total users in all countries: 71,463,470 (as L1: 71,083,170; as L2: 380,300).	Turkish
tus	7 (Kinkade 1991). Total users in all countries: 9.	Tuscarora
tuu	No known L1 speakers. The last fluent speaker died in 1983 (Golla 2007).	Tututni
tuv	989,000 (2009 census). 593,000 monolinguals.	Turkana
tuh	2,000 (2012 SIL). Ethnic population: 2,440 (2000 census).	Taulil
tui	130,000 (2005 SIL). Based on the actual population of the subdivision where the Tupuri people are present, as of the official 2005 census (2014 C. Hamm). Total users in all countries: 284,000.	Tupuri
tuj	2,590 (2000).	Tugutil
tuk	7,097,970 3,820,000 (2015 World Factbook). Total users in all countries: 7,097,970.	Turkmen
tul	30,000 (1998 U. Kleinewillinghöfer).	Tula
tum	1,180,000 (2009 UNSD). 24,400 Senga, 1,150,000 Tumbuka (2009 UNSD). Total users in all countries: 1,546,000.	Tumbuka
tun	32, all users. No known L1 speakers (2000), but emerging L2 speakers. Last known native speaker died in 1948 (1964 M. Haas). 32 (2017 J. Maxwell).	Tunica
tuo	4,600 (Moore 2006). Total users in all countries: 6,600.	Tucano
tua	460 (2000 census).	Wiarumus
tub	5 (Golla 2007). Ethnic population: 900 (Golla 2007).	Tübatulabal
tuc	3,500 (2007 SIL), increasing. Only older adults are monolingual. Ethnic population: 3,500.	Mutu
tud	No known L1 speakers. Ethnic population: 1,630 (1999).	Tuxá
tue	350 (1995 SIL). Ethnic population: 570 (Crevels 2007). Total users in all countries: 940.	Tuyuca
tuf	2,500 (2000 SIL). Ethnic population: All ethnic Tunebos: 7,010 (Crevels 2007).	Tunebo, Central
tug	2,260 (1993 census).	Tunia
dkr	Ethnic population: 7,910 (2000 S. Maduli).	Kuijau
dks	250,000. Total users in all countries: 265,900.	Dinka, Southeastern
dkx	17,000 (1997).	Mazagway
imi	1,250 (1990 census).	Anamgura
dka	2,000 (2011 SIL).	Dakpakha
dkk	1,500 (Strømme 1987).	Dakka
imn	250 (1994 SIL).	Imonda
cqd	1,400,000 (Wang and Mao 1995).	Miao, Chuanqiandian Cluster
bmb	252,000 (1991 UBS).	Bembe
bmc	2,200 (2000 census).	Biem
bma	10,000 (1995 CAPRO).	Lame
bmf	Bom: a few hundred speakers; Kim: less than 15 speakers (2014 T. Childs).	Bom-Kim
bmg	20,000 (1983 census).	Bamwe
bmd	4,000 (2011 NTM).	Baga Manduri
bme	Few in Ngundi [ndn] villages.	Limassa
bmj	8,770 (2011 census), decreasing. No monolinguals (2002 UNESCO). Ethnic population: 10,400 (2011 census).	Bote
bmk	2,810 (2000 census).	Ghayavi
bmh	1,750 (2000 census).	Kein
bmi	44,800 (1993 census).	Bagirmi
bmn	No known L1 speakers.	Bina
bmo	29,000 (2008 SIL).	Bambalang
bml	2,500 (1986 SIL).	Bomboli
bmm	1,270,000 (2011 SIL).	Malagasy, Northern Betsimisaraka
bmr	150 (2007 F. Cuéllar). Ethnic population: 550 (Crevels 2007).	Muinane
bms	20,000 (2003).	Kanuri, Bilma
bmp	50 (Wurm 2000). Ethnic population: 130.	Bulgebi
bmq	102,000 (1976 census). Total users in all countries: 158,000.	Bomu
bmv	21,400 (2001 SIL), increasing.	Bum
bmw	42,000 (2014 J. Leclerc). Total users in all countries: 48,100.	Bomwali
bmt	20,000 (Wang and Mao 1995).	Biao Mon
bmu	10,000 (2000 census). 5,500 Somba, 4,500 Siawari. 1,000 monolinguals. Ethnic population: 11,000.	Somba-Siawari
bmz	850 (2000 census).	Baramu
bmx	650 (2003 SIL).	Baimak
hds		Honduras Sign Language
hdy	1,401,000, all users. L1 users: 1,250,000 (2010 UNSD). L2 users: 151,000. 595,000 monolinguals.	Hadiyya
hdn	2 (FPCC 2014). 7 semi-speakers (FPCC 2014). Ethnic population: 4,550 (FPCC 2014). Total users in all countries: 17.	Haida, Northern
pap	135,000 in Curacao, all users. 115,000 (2011 SIL). 20,000. Total users in all countries: 339,870 (as L1: 319,870; as L2: 20,000).	Papiamentu
paq	3,000 (2008). Total users in all countries: 4,000.	Parya
par	20 (Golla 2007). No monolinguals. Ethnic population: 100 (1998 J. McLaughlin).	Timbisha
pas	400 (1982 SIL).	Papasena
pat	420 (2000 census).	Papitalai
pau	14,000 (2015 World Factbook). Total users in all countries: 18,150.	Palauan
pav	1,930 (Crevels 2007). Ethnic population: 2,720 (2006 FUNASA).	Pakaásnovos
paw	10 (Golla 2007). Ethnic population: 2,500 (Golla 2007).	Pawnee
pax	No known L1 speakers. Ethnic population: 1,500.	Pankararé
pay	990 (Rivas 1993). Ethnic population: 2,590 (Rivas 1993).	Pech
paz	No known L1 speakers. Ethnic population: 5,880.	Pankararú
pab	2,000 (2008 Administração Executiva Regional Tangara da Serra).	Parecís
pac	16,000 (2002). Total users in all countries: 32,500.	Pacoh
pad	290 (Crevels 2007). Ethnic population: 870 (2000).	Paumarí
pae	28,000 (2000 SIL). 6,000 Momveda, 4,500 Mongbapele.	Pagibete
paf	No known L1 speakers. Ethnic population: 50 (1986 SIL).	Paranawát
pag	1,160,000 (1990 census). Total users in all countries: 1,162,140.	Pangasinan
pah	580 (Moore 2006). Ethnic population: 790 (2000 ISA). 590 Tenharim, 160 Parintintin, 50 Diahhoi (2000 ISA).	Tenharim
pai	4,000 (Blench 2003).	Pe
pak	900 (Fausto 1995). Ethnic population: 900 (2004 ISA).	Parakanã
pam	1,900,000 (1990 census). Total users in all countries: 1,905,430.	Pampangan
pan	28,200,000 (2001 census). Total users in all countries: 29,258,970.	Punjabi, Eastern
pao	700 (Golla 2007), decreasing. Plus 400 semispeakers (Golla 2007). Ethnic population: 6,000 (1999 SIL).	Paiute, Northern
oin	1,300 (2000 M. Crowther). Ethnic population: 1,300.	One, Inebu
oia	1,220 (1987 SIL).	Oirata
uji	8,540 (2000).	Tanjijili
moz	12,000 (1990 SIL).	Mukulu
moy	83,380, all users. L1 users: 79,900 (2007 census). L2 users: 3,480. 36,500 monolinguals.	Shekkacho
mox	4,010 (2000 census), increasing.	Molima
mos	6,360,000 (2009 UNSD). Total users in all countries: 6,469,300.	Mòoré
mor	30,000 (1982 SIL).	Moro
moq	30 (2012 H. Hammarström). 70 semi-speakers (2012 H. Hammarström).	Mor
mop	10,600 (2014 UNSD). Total users in all countries: 15,600.	Maya, Mopán
mow	3,020 (2000).	Moi
mov	330 (2010 census). Ethnic population: 2,000 (Golla 2007).	Mohave
mou	7,000 (1997 SIL).	Mogum
mot	3,500 (Civallero 2008). Total users in all countries: 5,000.	Barí
mok	50 (1998 M. Donohue). Ethnic population: 250 (1998 M. Donohue).	Morori
moj	12,000 (2014 J. Leclerc). Total users in all countries: 18,600.	Monzombo
moi	19,000 (1992).	Mboi
moh	540 (2011 census). Ethnic population: 24,000 (1999 SIL). Total users in all countries: 3,640 (as L1: 3,540; as L2: 100).	Mohawk
moo	6,000 (Bradley 2007b).	Monom
mon	6,006,590 A macrolanguage. Population total all languages: 6,006,590	Mongolian
mom	No known L1 speakers. Ethnic population: 10,000 (1981 MARC).	Mangue
moc	3,000 (2011 E. Zugasti). A few elderly monolinguals. Ethnic population: 12,100 (2004 INDEC).	Mocoví
moa	20,000 (2012 V. Vydrin).	Mwan
mog	230,000 (2000 census).	Mongondow
moe	11,000 (2011 census).	Montagnais
zlm	13,500,000 in Malaysia, all users. 10,500,000 (2004 census). 10 million in Peninsular Malaysia, 506,000 in Sarawak, and 30,000 in Labuan. 3,000,000. Total users in all countries: 19,122,700 (as L1: 16,122,700; as L2: 3,000,000).	Malay
zln	48,000 (2007 census).	Zhuang, Lianshan
zlj	1,560,000 (2007).	Zhuang, Liujiang
zlq	370,000 (2007).	Zhuang, Liuqian
kmg	100,000, all users. 20,000 (2011 M. Muhujupe). 80,000 (1980 UBS).	Kâte
kmf	380 (Wurm and Hattori 1981).	Kare
kme	300 (1982 SIL).	Bakole
kmd	1,500 (1990 SIL), increasing.	Kalinga, Majukayang
kmc	1,000,000.	Dong, Southern
kmb	1,700,000 (2015 L. Jordan). Ethnic population: 6,000,000 (2015 L. Jordan).	Kimbundu
kma	3,800 (2003 GILLBT), increasing.	Konni
kmo	3,000 (2003 SIL).	Kwoma
kmn	700 (2014 SIL). Ethnic population: 1,000 (2014 SIL).	Awtuw
kmm	14,700 (2001 census).	Kom
kml	11,200 (1998 SIL), increasing. 1,120 monolinguals.	Kalinga, Tanudan
kmk	12,700 (2007 census), increasing.	Kalinga, Limos
kmj	12,500 (Bhaskararao 2006).	Kumarbhag Paharia
kmi	5,000 (Crozier and Blench 1992).	Kami
kmh	15,000 (1991 SIL).	Kalam
kmw	400,000 (1998 SIL).	Komo
kmv	2,400 (2008 SIL).	Karipuna Creole French
kmu	8,000 (1991 SIL).	Kanite
kmt	2,500 (1987 SIL).	Kemtuik
kms	960 (2003 SIL).	Kamasau
kmr	8,130,000 (2014 J. Leclerc), decreasing. 3,000,000 monolinguals. Especially in Hakkari and Shirnak provinces. Total users in all countries: 15,103,230.	Kurdish, Northern
kmq	15,000 (1982 SIL).	Kwama
kmp	3,000 (1982 SIL).	Gimme
kmz	886,000 (2014 J. Leclerc).	Khorasani Turkish
kmy	32,000 (1989). Total users in all countries: 35,000.	Koma
kmx	2,750 (2003 SIL).	Waboda
xns	1,400 (Chauhan 2002).	Kanashi
xnr	1,700,000 (1996 C. Gibson).	Kangri
xnu	No known L1 speakers.	Nukunul
xnt	No known L1 speakers. Ethnic population: 1,400 ethnic population of Narragansett and Mohegan-Pequot [xpq] (1977 SIL).	Narragansett
xny	3 (2006 AUSTLANG).	Nyiyaparli
xnz	50,000 (2014), decreasing.	Mattokki
xnb	4 (2012 P. Jen-Kuei). A few other semi-speakers who have passive knowledge of the language (2012 P. Jen-Kuei). Ethnic population: 250 (UNESCO).	Kanakanabu
xni	5 (2004 AUSTLANG).	Ngarigu
xnh	1,000 (1991).	Kuanhua
xnk	No known L1 speakers.	Nganakarti
xnn	70,000 (1987 SIL).	Kankanay, Northern
yyu	200 (2014 SIL). Ethnic population: 350 (2014 SIL).	Yau
yyr	No known L1 speakers.	Yir-Yoront
yyz	50 (2007 J. Pelkey), decreasing. Ethnic population: 2,000 (Bradley 2007b).	Ayizi
svb	2,800 (2003 SIL), decreasing.	Ulau-Suain
goo	690 (2000).	Gone Dau
goe	2,100 (2013 J. Leclerc).	Gongduk
zqe	140,000 (2007 census). 28,000 monolinguals. Ethnic population: 150,000.	Zhuang, Qiubei
goa	500,000 (2012 V. Vydrin).	Guro
gob	150 (Crevels 2007). Ethnic population: 160 (Crevels 2007). Total users in all countries: 350.	Playero
ium	383,000 (Wang and Mao 1995). Total users in all countries: 818,700.	Iu Mien
wsa	620, all users. 600 (1998 SIL). 20.	Warembori
hya	940 (2002 SIL). Total users in all countries: 2,940.	Hya
hye	2,960,000 (2013 UNSD). Total users in all countries: 5,169,640.	Armenian
wsg	300,000 (2015). M. Penny.	Gondi, Adilabad
wsi	300 (Lynch and Crowley 2001). Ethnic population: 430.	Wusi
wsk	20,000 (2007 SIL).	Waskia
wss	273,000 (2013 UNSD).	Wasa
wsr	350 (Wurm and Hattori 1981).	Owenia
wsu	No known L1 speakers. Ethnic population: 1,450.	Wasu
wsv	No known L1 speakers.	Wotapuri-Katarqalai
gor	1,000,000 (2000 census).	Gorontalo
aba	170,000 (1995 SIL).	Abé
abb	12,000 (2001 SIL).	Bankon
abc	1,660 (1986 SIL).	Ayta, Ambala
abd	3,800 (Lobel 2010).	Manide
abe	10 (Golla 2007). Total users in all countries: 14.	Abenaki, Western
abf	Ethnic population: 500 (2000 SIL).	Abai Sungai
abg	5 (1994 SIL), decreasing. No monolinguals. Ethnic population: 150 (2011 SIL).	Abaga
abh	1,000. Total users in all countries: 6,000.	Arabic, Tajiki Spoken
abi	50,500 (1993 SIL).	Abidji
abj	No known L1 speakers.	Aka-Bea
abk	129,000 (2015 J. Leclerc). Total users in all countries: 190,740.	Abkhaz
abl	180,000 (2000 census).	Lampung Nyo
abm	12,500 (1986).	Abanyom
abn	25,000 (Faraclas 1989).	Abua
abo	1,000 (1973 SIL).	Abon
abp	3,000 (2008 SIL), decreasing. 45 monolinguals. Ethnic population: 5,000.	Ayta, Abellen
abq	37,800 (2010 census). Ethnic population: 43,300 (2010 census). Total users in all countries: 49,800.	Abaza
